trade_id,status,mode,strategy_profile,token,token_mint,entry_time,exit_time,entry_price_usd,exit_price_usd,last_price_usd,stake_usd,quantity,realized_pnl_usd,realized_return_pct,exit_reason,entry_signal_type,confidence_score,execution_confidence_score,price_source_provider,price_source_exchange,price_source_pair_address,price_source_url,price_source_chain,last_price_source_provider,last_price_source_exchange,last_price_source_pair_address,last_price_source_url,last_price_source_chain
596f54da-9830-44b9-ad34-04268c48a3f5,closed,paper,momentum,USELESS,Dz9mQ9NzkBcCsuGPFJ3r1bS4wgqKMHBPiVuniW8Mbonk,2026-06-06T05:51:53.271064+00:00,2026-06-06T16:40:19.644000+00:00,0.06561,0.0629,0.0629,250.0,3810.3947568968,-12.77,-5.11,stoploss,price_surge,70.5,82.5,signal_payload:baseline_price_usd,raydium,,,,dexscreener,raydium,Q2sPHPdUWFMg7M7wwrQKLrn619cAucfRsmhVJffodSp,https://dexscreener.com/solana/q2sphpduwfmg7m7wwrqklrn619caucfrsmhvjffodsp,solana
d2ac3a7a-366c-4227-b042-eb287da2b3cb,closed,paper,non_pump,USELESS,Dz9mQ9NzkBcCsuGPFJ3r1bS4wgqKMHBPiVuniW8Mbonk,2026-06-06T05:51:53.271712+00:00,2026-06-06T16:40:19.644000+00:00,0.06561,0.0629,0.0629,250.0,3810.3947568968,-12.77,-5.11,stoploss,price_surge,70.5,82.5,signal_payload:baseline_price_usd,raydium,,,,dexscreener,raydium,Q2sPHPdUWFMg7M7wwrQKLrn619cAucfRsmhVJffodSp,https://dexscreener.com/solana/q2sphpduwfmg7m7wwrqklrn619caucfrsmhvjffodsp,solana
d8983daa-1d6a-4e5e-a20d-fb725661760e,closed,paper,balanced,UFD,eL5fUxj2J4CiQsmW85k5FG9DvuQjjUoBHoQBi2Kpump,2026-06-05T16:24:31.911619+00:00,2026-06-06T16:27:01.246000+00:00,0.01116,0.01079,0.01079,250.0,22401.4336917563,-10.75,-4.3,max_hold,price_surge,68.2,80.2,signal_payload:baseline_price_usd,raydium,,,,dexscreener,raydium,78sBWyimVhLumzZg1bdMD6ogGig8QpmgYZqCXNyMxx4z,https://dexscreener.com/solana/78sbwyimvhlumzzg1bdmd6oggig8qpmgyzqcxnymxx4z,solana
00cdaaca-a1d4-4c2c-97bf-c2c299540d1b,closed,paper,ai_curated,RENDER,rndrizKT3MK1iimdxRdWabcF7Zg7AR5T4nud4EkHBof,2026-06-06T06:31:23.657810+00:00,2026-06-06T16:27:01.246000+00:00,1.62,1.62,1.62,37.5,23.1481481481,-0.38,-1.0,max_hold,smart_buy,99.0,99.0,unknown,,,,,dexscreener,raydium,FZ8MJvdTPbp8juhtFCCzb7LsKunhexgzShGQ59SUJkNL,https://dexscreener.com/solana/fz8mjvdtpbp8juhtfcczb7lskunhexgzshgq59sujknl,solana
18932125-8513-45d4-94e8-3c9e8602a6ca,closed,paper,ai_curated,JUP,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,2026-06-06T06:29:06.763636+00:00,2026-06-06T14:27:48.494000+00:00,0.1514,0.1552,0.1552,30.0,198.1505944518,0.45,1.5,max_hold,smart_buy,99.0,99.0,unknown,,,,,dexscreener,meteora,C8Gr6AUuq9hEdSYJzoEpNcdjpojPZwqG5MtQbeouNNwg,https://dexscreener.com/solana/c8gr6auuq9hedsyjzoepncdjpojpzwqg5mtqbeounnwg,solana
6899942b-6885-4f7e-b5d1-38f72e794fd4,closed,paper,ai_curated,cbBTC,cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij,2026-06-05T14:06:08.069638+00:00,2026-06-06T14:05:10.772000+00:00,60829.59,60945.53,60945.53,22.5,0.0003698858,-0.18,-0.81,max_hold,smart_buy,99.0,99.0,unknown,,,,,dexscreener,orca,CeaZcxBNLpJWtxzt58qQmfMBtJY8pQLvursXTJYGQpbN,https://dexscreener.com/solana/ceazcxbnlpjwtxzt58qqmfmbtjy8pqlvursxtjygqpbn,solana
f24d6262-d58e-4a54-912e-ff0277e9fc36,closed,paper,momentum,jellyjelly,FeR8VBqNRSUD5NtXAj2n3j1dAHkZHfyDktKuLXD4pump,2026-06-06T09:30:27.014382+00:00,2026-06-06T14:02:46.150000+00:00,0.05628,0.05398,0.05398,250.0,4442.0753375977,-12.67,-5.07,stoploss,price_surge,69.9,81.9,signal_payload:baseline_price_usd,raydium,,,,dexscreener,raydium,3bC2e2RxcfvF9oP22LvbaNsVwoS2T98q6ErCRoayQYdq,https://dexscreener.com/solana/3bc2e2rxcfvf9op22lvbansvwos2t98q6ercroayqydq,solana
ccb05726-3836-4ea7-b8e8-84dfa3e23ecc,closed,paper,ai_curated,TRUMP,6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,2026-06-06T07:57:23.848885+00:00,2026-06-06T13:57:51.279000+00:00,1.57,1.58,1.58,30.0,19.1082802548,-0.11,-0.37,max_hold,smart_buy,99.0,99.0,unknown,,,,,dexscreener,meteora,9d9mb8kooFfaD3SctgZtkxQypkshx6ezhbKio89ixyy2,https://dexscreener.com/solana/9d9mb8kooffad3sctgztkxqypkshx6ezhbkio89ixyy2,solana
c1b3e2ef-7fcf-4522-aea1-6a267d455341,closed,paper,balanced,ZEC,A7bdiYdS5GjqGFtxf17ppRHtDKPkkRqbKtR27dxvQXaS,2026-06-06T05:29:13.049076+00:00,2026-06-06T13:55:31.453000+00:00,376.64,353.36,353.36,250.0,0.6637638063,-17.88,-7.15,stoploss,price_surge,73.6,85.6,signal_payload:baseline_price_usd,orca,,,,dexscreener,orca,GTHKH8s82ZR8GTSFZ1dUu6wfdxhy59wpMShxzG5zjiPm,https://dexscreener.com/solana/gthkh8s82zr8gtsfz1duu6wfdxhy59wpmshxzg5zjipm,solana
0d16b53b-ee52-413f-b3ab-86fc352814d2,closed,paper,ai_curated,ORCA,orcaEKTdK7LKz57vaAYr9QeNsVEPfiu6QeMU1kektZE,2026-06-06T06:27:02.911219+00:00,2026-06-06T13:55:31.453000+00:00,1.012,0.9506,0.9506,37.5,37.0553359684,-2.64,-7.04,stoploss,smart_buy,99.0,99.0,unknown,,,,,dexscreener,orca,Hxw77h9fEx598afiiZunwHaX3vYu9UskDk9EpPNZp1mG,https://dexscreener.com/solana/hxw77h9fex598afiizunwhax3vyu9uskdk9eppnzp1mg,solana
