trade_id,status,mode,strategy_profile,token,token_mint,entry_time,exit_time,entry_price_usd,exit_price_usd,last_price_usd,stake_usd,quantity,realized_pnl_usd,realized_return_pct,exit_reason,entry_signal_type,confidence_score,execution_confidence_score,price_source_provider,price_source_exchange,price_source_pair_address,price_source_url,price_source_chain,last_price_source_provider,last_price_source_exchange,last_price_source_pair_address,last_price_source_url,last_price_source_chain
352a7b5f-15bc-4e46-9ad7-bc34932fec59,closed,paper,ai_curated,JUP,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,2026-06-07T11:04:02.013335+00:00,2026-06-07T18:57:24.864000+00:00,0.1552,0.1548,0.1548,30.0,193.2989690722,-0.38,-1.26,max_hold,smart_buy,99.0,99.0,unknown,,,,,dexscreener,meteora,C8Gr6AUuq9hEdSYJzoEpNcdjpojPZwqG5MtQbeouNNwg,https://dexscreener.com/solana/c8gr6auuq9hedsyjzoepncdjpojpzwqg5mtqbeounnwg,solana
9bc42076-868e-46ff-9c12-ffbed46d8603,closed,paper,ai_curated,TRUMP,6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,2026-06-07T12:37:17.443377+00:00,2026-06-07T18:38:36.586000+00:00,1.6,1.63,1.63,30.0,18.75,0.26,0.87,max_hold,smart_buy,99.0,99.0,unknown,,,,,dexscreener,meteora,9d9mb8kooFfaD3SctgZtkxQypkshx6ezhbKio89ixyy2,https://dexscreener.com/solana/9d9mb8kooffad3sctgztkxqypkshx6ezhbkio89ixyy2,solana
6e2d3954-f017-4211-ba16-f25fa36f01b1,closed,paper,balanced,ZEC,A7bdiYdS5GjqGFtxf17ppRHtDKPkkRqbKtR27dxvQXaS,2026-06-07T05:52:38.521793+00:00,2026-06-07T18:17:00.981000+00:00,400.64,2665761.06,2665761.06,250.0,0.6240015974,1654870.71,661948.29,take_profit,price_surge,85.6,73.6,signal_payload:baseline_price_usd,orca,,,,dexscreener,meteora,6YKyZraJXDfsZh7QQq4v5rtsiRfKkkMbLVSrDkhFRNLv,https://dexscreener.com/solana/6ykyzrajxdfszh7qqq4v5rtsirfkkkmblvsrdkhfrnlv,solana
244858e6-c155-4ee1-a889-ae1ccbceb61d,closed,paper,ai_curated,ORCA,orcaEKTdK7LKz57vaAYr9QeNsVEPfiu6QeMU1kektZE,2026-06-07T06:18:55.536418+00:00,2026-06-07T18:17:00.981000+00:00,1.024,1.032,1.032,37.5,36.62109375,-0.08,-0.22,max_hold,smart_buy,99.0,99.0,unknown,,,,,dexscreener,orca,Hxw77h9fEx598afiiZunwHaX3vYu9UskDk9EpPNZp1mG,https://dexscreener.com/solana/hxw77h9fex598afiizunwhax3vyu9uskdk9eppnzp1mg,solana
a10c3483-f737-4cc2-8e19-63e0017f4128,closed,paper,momentum,ZEC,A7bdiYdS5GjqGFtxf17ppRHtDKPkkRqbKtR27dxvQXaS,2026-06-07T05:52:38.522084+00:00,2026-06-07T15:15:04.580000+00:00,400.64,442.24,442.24,250.0,0.6240015974,23.33,9.33,take_profit,price_surge,85.6,73.6,signal_payload:baseline_price_usd,orca,,,,dexscreener,orca,GTHKH8s82ZR8GTSFZ1dUu6wfdxhy59wpMShxzG5zjiPm,https://dexscreener.com/solana/gthkh8s82zr8gtsfz1duu6wfdxhy59wpmshxzg5zjipm,solana
e0e954b1-b7e7-4cdc-8112-7542f4265b86,closed,paper,momentum,1,BHSKdQQ8mrjtSkMwpgzGedEbTMWuHwXq7x5VSkispump,2026-06-07T14:59:23.344034+00:00,2026-06-07T14:58:39.091000+00:00,0.0006364,0.0007085,0.0007085,250.0,392834.6951602766,25.68,10.27,take_profit,price_surge,79.5,67.5,signal_payload:baseline_price_usd,pumpswap,,,,dexscreener,pumpswap,FqAdwWUzaGEE3TA8caeiZcvRkdAr7yPm4eJEUgbwqeM6,https://dexscreener.com/solana/fqadwwuzagee3ta8caeizcvrkdar7ypm4ejeugbwqem6,solana
36f1d69c-46e6-47c8-a9a1-543041b76deb,closed,paper,non_pump,ZEC,A7bdiYdS5GjqGFtxf17ppRHtDKPkkRqbKtR27dxvQXaS,2026-06-07T05:52:38.522724+00:00,2026-06-07T14:53:51.319000+00:00,400.64,435.24,435.24,250.0,0.6240015974,18.98,7.59,take_profit,price_surge,85.6,73.6,signal_payload:baseline_price_usd,orca,,,,dexscreener,orca,GTHKH8s82ZR8GTSFZ1dUu6wfdxhy59wpMShxzG5zjiPm,https://dexscreener.com/solana/gthkh8s82zr8gtsfz1duu6wfdxhy59wpmshxzg5zjipm,solana
cd79e52b-8e51-4541-ba7e-96335fdd72dd,closed,paper,ai_curated,cbBTC,cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij,2026-06-06T14:41:02.848698+00:00,2026-06-07T14:46:53.443000+00:00,60788.38,62016.84,62016.84,22.5,0.0003701365,0.23,1.01,max_hold,smart_buy,99.0,99.0,unknown,,,,,dexscreener,orca,CeaZcxBNLpJWtxzt58qQmfMBtJY8pQLvursXTJYGQpbN,https://dexscreener.com/solana/ceazcxbnlpjwtxzt58qqmfmbtjy8pqlvursxtjygqpbn,solana
96b100f3-e53b-4da4-9838-48d0b31aa364,closed,paper,ai_curated,TRUMP,6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,2026-06-07T06:16:51.764956+00:00,2026-06-07T12:18:42.302000+00:00,1.61,1.6,1.6,30.0,18.6335403727,-0.49,-1.62,max_hold,smart_buy,99.0,99.0,unknown,,,,,dexscreener,meteora,9d9mb8kooFfaD3SctgZtkxQypkshx6ezhbKio89ixyy2,https://dexscreener.com/solana/9d9mb8kooffad3sctgztkxqypkshx6ezhbkio89ixyy2,solana
bb8df282-b391-4621-b91b-499208e12be7,closed,paper,ai_curated,RENDER,rndrizKT3MK1iimdxRdWabcF7Zg7AR5T4nud4EkHBof,2026-06-07T09:13:11.249166+00:00,2026-06-07T12:14:06.003000+00:00,1.71,1.64,1.64,37.5,21.9298245614,-1.9,-5.07,stoploss,smart_buy,99.0,99.0,unknown,,,,,dexscreener,raydium,FZ8MJvdTPbp8juhtFCCzb7LsKunhexgzShGQ59SUJkNL,https://dexscreener.com/solana/fz8mjvdtpbp8juhtfcczb7lskunhexgzshgq59sujknl,solana
